Rank,Location,Population,% of World,Date
,World,"8,119,000,000",100%,1-Jul-24
1,China,"1,409,670,000",17.30%,31-Dec-23
2,India,"1,402,737,000",17.20%,1-Jul-24
3,United States,"340,110,988",4.20%,1-Jul-24
4,Indonesia,"282,477,584",3.50%,30-Jun-24
5,Pakistan,"241,499,431",3.00%,1-Mar-23
6,Nigeria,"223,800,000",2.70%,1-Jul-23
7,Brazil,"212,583,750",2.60%,1-Jul-24
8,Bangladesh,"169,828,911",2.10%,14-Jun-22
9,Russia,"146,150,789",1.80%,1-Jan-24
10,Mexico,"130,154,247",1.60%,30-Sep-24
11,Japan,"123,740,000",1.50%,1-Dec-24
12,Philippines,"114,163,719",1.40%,1-Jul-24
13,Ethiopia,"109,499,000",1.30%,1-Jul-24
14,Democratic Republic of the Congo,"109,276,000",1.30%,1-Jul-24
15,Egypt,"105,914,499",1.30%,1-Jan-24
16,Vietnam,"101,300,000",1.20%,1-Jul-24
17,Iran,"85,961,000",1.10%,20-Mar-24
18,Turkey,"85,372,377",1.00%,31-Dec-23
19,Germany,"84,746,132",1.00%,30-Sep-24
20,France,"68,567,000",0.80%,1-Dec-24
21,United Kingdom,"68,265,209",0.80%,1-Jul-23
22,Thailand,"65,960,724",0.80%,1-Nov-24
23,South Africa,"63,015,904",0.80%,30-Jul-24
24,Tanzania,"61,741,120",0.80%,23-Aug-22
25,Italy,"58,958,131",0.70%,31-Oct-24
26,Colombia,"52,695,952",0.60%,1-Jan-24
27,Kenya,"52,428,290",0.60%,1-Jan-24
28,Myanmar,"51,316,756",0.60%,15-Oct-24
29,South Korea,"51,248,233",0.60%,30-Sep-24
30,Sudan,"50,448,963",0.60%,1-Jul-24
31,Spain,"48,946,035",0.60%,1-Oct-24
32,Argentina,"47,067,441",0.60%,1-Jul-24
33,Algeria,"46,700,000",0.60%,1-Jan-24
34,Uganda,"45,935,046",0.60%,10-May-24
35,Iraq,"44,414,800",0.50%,1-Jul-24
36,Canada,"41,465,298",0.50%,1-Oct-24
37,Poland,"37,519,000",0.50%,31-Oct-24
38,Uzbekistan,"37,355,356",0.50%,1-Oct-24
39,Morocco,"36,828,330",0.50%,1-Sep-24
40,Afghanistan,"35,695,527",0.40%,1-Jul-24
41,Angola,"35,121,734",0.40%,1-Jun-24
42,Malaysia,"34,112,400",0.40%,30-Sep-24
43,Peru,"34,038,457",0.40%,1-Jul-24
44,Ukraine,"33,443,000",0.40%,1-Jan-24
45,Mozambique,"33,244,414",0.40%,1-Jul-24
46,Ghana,"33,007,618",0.40%,1-Jul-24
47,Yemen,"32,305,264",0.40%,1-Jul-22
48,Saudi Arabia,"32,175,224",0.40%,10-May-22
49,Madagascar,"30,811,969",0.40%,1-Jul-24
50,Ivory Coast,"29,389,150",0.40%,14-Dec-21
51,Nepal,"29,164,578",0.40%,25-Nov-21
52,Cameroon,"28,758,503",0.40%,1-Jul-24
53,Venezuela,"28,405,543",0.30%,1-Jul-24
54,Australia,"27,204,800",0.30%,30-Jun-24
55,Niger,"26,312,034",0.30%,1-Jul-24
56,North Korea,"25,950,000",0.30%,1-Jul-21
57,Syria,"24,672,760",0.30%,1-Jul-24
58,Burkina Faso,"23,409,015",0.30%,1-Jul-24
–,Taiwan,"23,400,220",0.30%,31-Dec-24
59,Mali,"22,395,489",0.30%,15-Jun-22
60,Sri Lanka,"21,916,000",0.30%,1-Jul-24
61,Malawi,"20,270,568",0.20%,1-Jul-24
62,Kazakhstan,"20,265,320",0.20%,1-Dec-24
63,Chile,"20,086,377",0.20%,30-Jun-24
64,Zambia,"19,610,769",0.20%,14-Sep-22
65,Romania,"19,064,409",0.20%,1-Jan-24
66,Somalia,"19,009,151",0.20%,1-Jul-24
67,Chad,"18,675,547",0.20%,1-Jul-24
68,Senegal,"18,126,390",0.20%,15-May-23
69,Netherlands,"18,045,683",0.20%,30-Nov-24
70,Guatemala,"17,843,132",0.20%,1-Jul-24
71,Cambodia,"17,336,307",0.20%,1-Jul-24
72,Ecuador,"16,938,986",0.20%,1-Oct-22
73,Zimbabwe,"16,751,469",0.20%,1-Jul-24
74,South Sudan,"15,254,268",0.20%,1-Jul-23
75,Rwanda,"13,798,561",0.20%,1-Jul-24
76,Guinea,"13,261,638",0.20%,1-Jul-22
77,Benin,"12,910,087",0.20%,1-Jul-24
78,Burundi,"12,837,740",0.20%,1-Jul-22
79,Haiti,"12,394,537",0.20%,1-Jul-24
80,Tunisia,"11,887,412",0.10%,1-Jan-24
81,Belgium,"11,872,024",0.10%,1-Nov-24
82,Papua New Guinea,"11,781,559",0.10%,1-Jul-21
83,Jordan,"11,516,000",0.10%,31-Dec-23
84,Bolivia,"11,312,620",0.10%,23-Mar-24
85,Cuba,"11,089,511",0.10%,31-Dec-22
86,Czech Republic,"10,897,237",0.10%,30-Sep-24
87,Dominican Republic,"10,771,504",0.10%,10-Nov-22
88,United Arab Emirates,"10,678,556",0.10%,31-Dec-23
89,Portugal,"10,639,726",0.10%,31-Dec-23
90,Sweden,"10,588,230",0.10%,30-Nov-24
91,Greece,"10,400,720",0.10%,1-Jan-24
92,Tajikistan,"10,277,100",0.10%,1-Jan-24
93,Azerbaijan,"10,214,441",0.10%,1-Oct-24
94,Israel,"10,027,000",0.10%,31-Dec-24
95,Honduras,"9,892,632",0.10%,1-Jul-24
96,Hungary,"9,584,627",0.10%,1-Jan-24
97,Austria,"9,198,124",0.10%,1-Oct-24
98,Belarus,"9,155,978",0.10%,1-Jan-24
99,Switzerland,"9,027,859",0.10%,30-Sep-24
100,Sierra Leone,"8,884,032",0.10%,1-Jul-24
101,Togo,"8,095,498",0.10%,8-Nov-22
102,Laos,"7,546,000",0.09%,1-Jul-23
–,Hong Kong (China),"7,531,800",0.09%,30-Jun-24
103,Libya,"7,381,023",0.09%,1-Jul-24
104,Kyrgyzstan,"7,161,900",0.09%,1-Jan-24
105,Turkmenistan,"7,057,841",0.09%,17-Dec-22
106,Nicaragua,"6,803,886",0.08%,30-Jun-23
107,Serbia,"6,605,168",0.08%,1-Jan-24
108,Central African Republic,"6,470,307",0.08%,1-Jul-24
109,Bulgaria,"6,445,481",0.08%,31-Dec-23
110,El Salvador,"6,351,000",0.08%,30-Jun-24
111,Republic of the Congo,"6,142,180",0.08%,17-May-23
112,Paraguay,"6,109,644",0.07%,10-Nov-22
113,Singapore,"6,036,900",0.07%,30-Jun-24
114,Denmark,"5,989,985",0.07%,1-Oct-24
115,Finland,"5,636,521",0.07%,30-Nov-24
116,Norway,"5,585,044",0.07%,30-Sep-24
117,Lebanon,"5,490,000",0.07%,1-Jul-21
118,Palestine,"5,483,450",0.07%,1-Jan-23
119,Slovakia,"5,421,272",0.07%,30-Sep-24
120,Ireland,"5,380,300",0.07%,1-Apr-24
121,New Zealand,"5,348,600",0.07%,30-Sep-24
122,Costa Rica,"5,309,625",0.07%,30-Jun-24
125,Oman,"5,259,612",0.06%,30-Nov-24
124,Liberia,"5,248,621",0.06%,10-Nov-22
125,Mauritania,"4,927,532",0.06%,25-Dec-23
126,Kuwait,"4,913,271",0.06%,1-Jan-24
127,Panama,"4,064,780",0.05%,8-Jan-23
128,Croatia,"3,859,686",0.05%,1-Jul-23
129,Georgia,"3,694,600",0.05%,1-Jan-24
130,Eritrea,"3,535,603",0.04%,1-Jul-24
131,Mongolia,"3,504,741",0.04%,31-Dec-23
132,Uruguay,"3,444,263",0.04%,27-Nov-23
133,Bosnia and Herzegovina,"3,264,873",0.04%,1-Jul-23
–,Puerto Rico (US),"3,203,295",0.04%,1-Jul-24
134,Armenia,"3,067,400",0.04%,1-Jan-24
135,Namibia,"3,022,401",0.04%,24-Sep-23
136,Lithuania,"2,897,430",0.04%,1-Jan-25
137,Qatar,"2,857,822",0.04%,30-Jun-24
138,Jamaica,"2,825,544",0.03%,1-Jul-19
139,Moldova,"2,423,300",0.03%,1-Jan-24
140,Gambia,"2,417,471",0.03%,1-Jul-22
141,Botswana,"2,410,338",0.03%,1-Jul-21
142,Gabon,"2,408,586",0.03%,1-Jul-24
143,Albania,"2,402,113",0.03%,18-Sep-23
144,Lesotho,"2,306,000",0.03%,1-Jul-23
145,Slovenia,"2,126,324",0.03%,1-Jul-24
146,Latvia,"1,854,900",0.02%,1-Nov-24
147,North Macedonia,"1,826,247",0.02%,31-Dec-23
148,Guinea-Bissau,"1,781,308",0.02%,1-Jul-23
149,Bahrain,"1,588,670",0.02%,1-Jul-24
–,Kosovo,"1,585,566",0.02%,4-Apr-24
150,Equatorial Guinea,"1,558,160",0.02%,1-Jul-22
151,Estonia,"1,374,687",0.02%,1-Jan-24
152,East Timor,"1,373,024",0.02%,1-Jul-24
153,Trinidad and Tobago,"1,368,333",0.02%,30-Jun-24
154,Mauritius,"1,259,509",0.02%,1-Jul-24
155,Eswatini,"1,235,549",0.02%,1-Jul-24
156,Djibouti,"1,066,809",0.01%,20-May-24
157,Cyprus,"918,100",0.01%,1-Oct-21
158,Fiji,"900,869",0.01%,1-Jan-25
159,Comoros,"900,141",0.01%,2024
160,Bhutan,"777,224",0.01%,2024
161,Guyana,"772,975",0.01%,1-Jul-21
162,Solomon Islands,"750,325",0.01%,1-Jul-24
–,Macau (China),"686,600",0.01%,30-Sep-24
163,Luxembourg,"672,050",0.01%,1-Jan-24
164,Montenegro,"623,633",0.01%,31-Oct-23
165,Suriname,"616,500",0.01%,1-Jul-21
–,Western Sahara,"590,506",0.01%,1-Jul-24
166,Malta,"542,051",0.01%,31-Dec-22
167,Maldives,"515,132",0.01%,13-Sep-22
168,Cape Verde,"491,233",0.01%,16-Jun-21
–,Northern Cyprus,"476,214",0.01%,31-Dec-23
169,Brunei,"450,500",0.01%,1-Jul-23
170,Belize,"410,919",0.01%,1-Jul-24
171,Bahamas,"398,165",0.01%,4-Apr-22
172,Iceland,"388,790",0.01%,1-Oct-24
–,Transnistria,"360,938",0.00%,31-Dec-22
173,Vanuatu,"321,409",0.00%,1-Jul-24
–,French Polynesia (France),"279,890",0.00%,1-Jul-21
–,New Caledonia (France),"268,510",0.00%,1-Jan-23
174,Barbados,"267,800",0.00%,31-Dec-22
–,Abkhazia,"244,236",0.00%,1-Jan-22
175,São Tomé and Príncipe,"228,319",0.00%,1-Jul-24
176,Samoa,"205,557",0.00%,6-Nov-21
177,Saint Lucia,"184,100",0.00%,1-Jul-23
–,Curaçao (Netherlands),"155,826",0.00%,2-Sep-23
–,Guam (US),"153,836",0.00%,1-Apr-20
178,Seychelles,"121,355",0.00%,30-Jun-24
179,Kiribati,"120,740",0.00%,1-Jul-21
180,Grenada,"112,579",0.00%,1-Jul-19
181,Saint Vincent and the Grenadines,"110,872",0.00%,1-Jul-22
–,Aruba (Netherlands),"107,566",0.00%,31-Dec-23
182,Micronesia,"105,754",0.00%,1-Jul-21
183,Antigua and Barbuda,"103,603",0.00%,1-Jan-24
–,Jersey (UK),"103,267",0.00%,21-Mar-21
184,Tonga,"100,179",0.00%,1-Jan-22
–,U.S. Virgin Islands (US),"87,146",0.00%,1-Apr-20
185,Andorra,"86,931",0.00%,30-Nov-24
–,Cayman Islands (UK),"84,738",0.00%,31-Dec-23
–,Isle of Man (UK),"84,530",0.00%,1-Apr-23
186,Dominica,"67,408",0.00%,31-Dec-17
–,Guernsey (UK),"64,781",0.00%,31-Dec-23
–,Bermuda (UK),"64,055",0.00%,1-Jul-21
–,Greenland (Denmark),"56,865",0.00%,1-Jul-23
–,South Ossetia,"56,520",0.00%,31-Dec-21
–,Faroe Islands (Denmark),"54,675",0.00%,1-Dec-24
187,Saint Kitts and Nevis,"51,320",0.00%,2022
–,American Samoa (US),"49,710",0.00%,1-Apr-20
–,Turks and Caicos Islands (UK),"49,309",0.00%,1-Jul-23
–,Northern Mariana Islands (US),"47,329",0.00%,1-Apr-20
188,Marshall Islands,"42,418",0.00%,30-Sep-21
–,Sint Maarten (Netherlands),"41,349",0.00%,1-Jan-24
189,Liechtenstein,"40,232",0.00%,30-Jun-24
190,Monaco,"38,367",0.00%,31-Dec-23
–,Gibraltar (UK),"38,000",0.00%,14-Nov-22
191,San Marino,"33,987",0.00%,31-Oct-24
–,Saint Martin (France),"32,358",0.00%,1-Jan-20
–,British Virgin Islands (UK),"31,538",0.00%,1-Jul-23
192,Palau,"16,733",0.00%,1-Jul-21
–,Anguilla (UK),"15,931",0.00%,31-Dec-23
–,Cook Islands,"15,040",0.00%,1-Jul-21
193,Nauru,"11,680",0.00%,30-Oct-21
–,Wallis and Futuna (France),"11,620",0.00%,24-Jul-23
194,Tuvalu,"10,679",0.00%,1-Jul-21
–,Saint Barthélemy (France),"10,585",0.00%,1-Jan-20
–,Saint Pierre and Miquelon (France),"6,092",0%,1-Jan-20
–,"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1-Jul-21
–,Montserrat (UK),"4,386",0%,23-Sep-23
–,Falkland Islands (UK),"3,662",0%,10-Oct-21
–,Norfolk Island (Australia),"2,188",0%,1-Jan-21
–,Christmas Island (Australia),"1,692",0%,1-Jan-21
–,Niue (New Zealand),"1,681",0%,11-Nov-22
–,Tokelau (New Zealand),"1,647",0%,1-Jan-19
195,Vatican City,764,0%,26-Jun-23
–,Cocos (Keeling) Islands (Australia),593,0%,30-Jun-20
–,Pitcairn Islands (UK),35,0%,1-Jul-23
